DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|CasNumber|IngredientName|MatchingStrategy|PercentofConfidence|DisclosureStatus|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
3946|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1327362|"mullite (aluminum silicate)"|"NO CAS MATCH FOUND"||Disclosed|||||Y
3947|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1330434|"alcohol, c7-9 iso, c8, ethoxylated"|"NO CAS MATCH FOUND"||Disclosed|||||
3948|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1332770|"water"|"NO CAS MATCH FOUND"||Disclosed|||||
3949|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1338392|"proprietary surfactant"|"NO CAS MATCH FOUND"||Undisclosed Name but Associated CAS Number|||||
3950|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1338438|"sorbitan monooleate"|"NO CAS MATCH FOUND"||Disclosed|||||
3951|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1338438|"sorbitan, mono-(9z)-9-oxtadecenoate"|"NO CAS MATCH FOUND"||Disclosed|||||
3952|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1338438|"tributyl tetradecyl phosphonium chloride"|"NO CAS MATCH FOUND"||Undisclosed Name but Associated CAS Number|||||
3953|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68424851|"quaternary ammonium compounds, benzyl-c12-16- alkyldimethyl, chlorides"|"NO CAS MATCH FOUND"||Disclosed|||||
3954|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68424851|"quaternary ammonium compounds, benzyl-c12-16-alkyldimethylchlorides"|"NO CAS MATCH FOUND"||Disclosed|||||
3955|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68424851|"quaternary ammonium cpds, benzyl-c12-16-akyldimethyl, chlorides"|"NO CAS MATCH FOUND"||Disclosed|||||
3956|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68425672|"boric acid (2-aminoethanol)"|"NO CAS MATCH FOUND"||Disclosed|||||
3957|2016-08-05 22:27:18.7033561|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68439452|"alcohols, c6-12, ethoxylated"|"By CAS Number"|95|Disclosed|||||
3958|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68439452|"ethoxylated alcohol c6-c12"|"NO CAS MATCH FOUND"||Disclosed|||||
3959|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68439463|"a1c0h015,c9- c11. eth0xy1ated"|"NO CAS MATCH FOUND"||Disclosed|||||
3960|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|1344281|"alumium oxide"|"NO CAS MATCH FOUND"||Disclosed|||||
3961|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|13477344|"calcium nitrate"|"NO CAS MATCH FOUND"||Disclosed|||||
